id,long,lat,dro1945,dro2045B1,dro2095B1,dro2045A1fi,dro2095A1fi,gdd1945,gdd2045B1,gdd2095B1,gdd2045A1fi,gdd2095A1fi,Tc1945,Tc2045B1,Tc2095B1,Tc2045A1fi,Tc2095A1fi,Tw1945,Tw2045B1,Tw2095B1,Tw2045A1fi,Tw2095A1fi
29620,31.08,60.08,0.02,0.018,0.019,0.02,0.05,1401,1827,2084,1961,2964,-8.6,-4.6,-3.2,-3.9,0.5,18.1,20.3,21.5,20.9,24.5
29621,31.08,60.25,0.02,0.018,0.019,0.02,0.05,1391,1827,2087,1963,2975,-8.7,-4.6,-3.2,-3.9,0.5,18.1,20.3,21.5,20.9,24.5
29622,31.08,60.42,0.02,0.018,0.019,0.02,0.04,1377,1803,2057,1933,2926,-8.9,-4.7,-3.3,-4.1,0.4,18.1,20.3,21.5,20.8,24.4
29623,31.08,60.58,0.02,0.018,0.019,0.02,0.04,1356,1777,2037,1913,2899,-8.8,-4.9,-3.5,-4.2,0.2,17.9,20.2,21.4,20.7,24.4
29624,31.08,60.75,0.02,0.018,0.019,0.02,0.04,1337,1750,2004,1881,2859,-9,-5.1,-3.7,-4.4,0.1,17.9,20.1,21.2,20.6,24.2
29625,31.08,60.92,0.02,0.018,0.019,0.02,0.04,1310,1720,1967,1856,2828,-9.1,-5.3,-3.9,-4.7,-0.2,17.7,19.9,21.1,20.5,24.1
29626,31.08,61.08,0.02,0.018,0.019,0.02,0.04,1285,1681,1928,1819,2782,-9.3,-5.5,-4.1,-4.8,-0.4,17.6,19.8,21,20.4,24
29627,31.08,61.25,0.02,0.018,0.019,0.02,0.04,1263,1651,1890,1784,2737,-9.3,-5.6,-4.1,-4.8,-0.3,17.5,19.7,20.8,20.2,23.8
29628,31.08,61.42,0.02,0.018,0.019,0.02,0.04,1247,1628,1870,1761,2697,-9.5,-5.7,-4.2,-5.1,-0.4,17.4,19.6,20.7,20.2,23.8
29629,31.08,61.58,0.02,0.018,0.019,0.02,0.03,1215,1592,1821,1719,2644,-9.6,-6,-4.5,-5.3,-0.6,17.3,19.4,20.6,20,23.7
29630,31.08,61.75,0.02,0.018,0.019,0.02,0.02,1179,1539,1766,1670,2565,-9.9,-6.2,-4.6,-5.5,-0.8,17.1,19.1,20.3,19.8,23.4
29631,31.08,61.92,0.02,0.018,0.019,0.02,0.02,1135,1481,1710,1605,2479,-10.1,-6.5,-4.9,-5.8,-1,16.9,18.9,20.1,19.5,23.2
29632,31.08,62.08,0.02,0.018,0.018,0.02,0.02,1082,1410,1631,1533,2368,-10.5,-6.9,-5.4,-6.1,-1.3,16.5,18.6,19.8,19.2,22.8
29633,31.08,62.25,0.02,0.018,0.018,0.02,0.02,1056,1374,1589,1488,2301,-10.6,-7.1,-5.5,-6.3,-1.4,16.4,18.3,19.5,18.9,22.5
29634,31.08,62.42,0.02,0.018,0.018,0.02,0.02,1055,1365,1574,1481,2285,-10.6,-7.1,-5.5,-6.4,-1.4,16.3,18.3,19.4,18.9,22.5
29635,31.08,62.58,0.02,0.018,0.018,0.02,0.02,1046,1357,1567,1465,2266,-10.7,-7.2,-5.6,-6.5,-1.5,16.2,18.2,19.4,18.8,22.5
