afelong,afelat,ATEAMid,abialb,betnan,betpen,betpub,cassat,fagsyl,ileaqu,juncomm,junoxy,lardec,picabi,pinhal,pinsyl,quecoc,queile,quepub,querob
14.705,40.424,1487,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,1,0
14.715,38.171,1488,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0
14.716,37.721,1489,0,0,1,0,1,1,1,1,0,0,0,0,0,0,1,1,0
14.718,37.27,1490,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
14.72,36.819,1491,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
14.839,38.559,1492,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
14.937,55.117,1493,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1
15.28,36.819,1494,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
15.282,37.27,1495,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
15.284,37.721,1496,0,0,1,0,1,1,1,1,0,0,0,1,0,0,1,1,0
15.285,38.171,1497,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0
15.293,39.974,1498,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0
15.295,40.424,1499,1,0,1,0,1,1,1,1,0,0,0,1,0,0,1,1,1
15.297,40.875,1500,1,0,1,0,1,1,1,0,0,0,0,0,0,0,1,1,0
15.299,41.325,1501,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1
15.301,41.775,1502,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0
15.312,44.027,1503,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,1,0
15.314,44.477,1504,1,0,1,0,0,1,1,1,1,0,1,1,1,0,1,1,1
15.317,44.927,1505,1,0,1,0,0,1,1,1,1,1,1,0,1,0,0,1,1
15.319,45.377,1506,1,0,1,0,1,1,1,1,0,0,1,0,0,0,0,1,1
15.322,45.827,1507,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1
15.324,46.277,1508,1,0,1,1,1,1,1,1,0,1,1,0,1,0,0,1,1
15.327,46.727,1509,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,1
15.33,47.176,1510,1,0,1,1,1,1,1,1,0,1,1,0,1,0,0,1,1
15.333,47.626,1511,1,0,1,1,0,1,1,1,0,1,1,0,1,0,0,0,1
15.336,48.076,1512,1,0,1,1,1,1,1,1,0,1,1,0,1,0,0,1,1
15.339,48.526,1513,1,0,1,1,0,1,0,1,0,1,1,0,1,0,0,1,1
15.342,48.976,1514,1,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,1
15.345,49.426,1515,1,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,1
15.348,49.876,1516,1,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,1
15.351,50.325,1517,1,0,1,1,0,1,0,1,0,0,1,0,1,0,0,1,1
15.355,50.775,1518,1,1,1,1,0,1,0,1,0,1,1,0,1,0,0,0,1
15.358,51.224,1519,1,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,1
15.362,51.674,1520,1,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,1
15.365,52.123,1521,1,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,1
15.369,52.573,1522,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1
15.373,53.022,1523,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,1
15.377,53.471,1524,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,1
15.381,53.921,1525,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,1
15.403,56.167,1527,0,1,1,1,0,1,0,1,0,0,1,0,1,0,0,0,1
15.407,56.616,1528,0,1,1,1,0,1,0,1,0,0,1,0,1,0,0,0,1
15.412,57.065,1529,0,1,1,1,0,1,0,1,0,0,1,0,1,0,0,0,1
15.417,57.514,1530,0,1,1,1,0,1,0,1,0,0,1,0,1,0,0,0,1
15.423,57.963,1531,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,1
15.428,58.412,1532,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,1
15.433,58.861,1533,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,1
15.439,59.311,1534,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,1
15.445,59.76,1535,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,1
15.451,60.209,1536,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,1
15.457,60.657,1537,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0
15.464,61.106,1538,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0
15.471,61.555,1539,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0
15.478,62.004,1540,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0
15.485,62.453,1541,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0
15.492,62.901,1542,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0
15.5,63.35,1543,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0
15.508,63.799,1544,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0
15.516,64.248,1545,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0
15.524,64.697,1546,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0
15.533,65.145,1547,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0
15.542,65.594,1548,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
15.552,66.042,1549,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0
15.562,66.49,1550,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
15.572,66.939,1551,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0
15.583,67.387,1552,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0
15.594,67.836,1553,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
15.606,68.284,1554,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
15.618,68.732,1555,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
15.63,69.181,1556,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
15.856,38.169,1558,1,0,1,0,1,1,1,1,0,0,0,0,0,0,1,1,1
15.861,38.619,1559,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0
15.872,39.52,1561,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0
15.878,39.971,1562,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,0
15.884,40.421,1563,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,0
15.89,40.872,1564,1,0,1,0,1,1,1,0,0,0,0,0,0,0,1,1,0
15.896,41.322,1565,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
15.902,41.772,1566,0,0,0,0,1,1,1,1,1,0,0,1,0,0,1,1,1
15.929,43.573,1567,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0
15.936,44.023,1568,1,0,0,0,0,1,1,1,1,1,0,1,0,0,1,1,0
15.943,44.473,1569,1,0,1,0,0,1,1,1,1,1,1,0,1,0,1,1,1
15.95,44.923,1570,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,1,1
15.958,45.373,1571,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1
15.965,45.823,1572,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1
15.973,46.273,1573,1,0,0,1,1,1,1,0,0,1,0,0,1,0,0,1,1
15.981,46.723,1574,1,0,1,0,1,1,1,1,0,0,1,0,1,0,0,1,1
15.99,47.173,1575,1,0,1,1,1,1,1,1,0,1,1,0,1,0,0,0,1
15.998,47.622,1576,1,0,1,0,1,1,1,1,0,1,1,0,1,0,0,1,1
16.007,48.072,1577,1,0,1,0,1,1,1,1,0,1,1,0,1,0,0,1,1
16.016,48.522,1578,1,0,1,0,1,1,0,1,0,0,0,0,1,0,0,1,1
16.025,48.972,1579,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,1
16.034,49.422,1580,1,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,1
16.044,49.871,1581,1,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,1
16.054,50.321,1582,1,1,1,1,0,1,0,1,0,1,1,0,1,0,0,0,1
16.064,50.77,1583,1,0,1,1,0,1,0,1,0,1,1,0,1,0,0,0,1
16.074,51.22,1584,1,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,1
16.085,51.669,1585,1,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,1
16.095,52.119,1586,0,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,1
16.107,52.568,1587,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,1
16.118,53.017,1588,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,1
16.13,53.467,1589,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,1
16.142,53.916,1590,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,1
16.154,54.366,1591,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,1
16.208,56.162,1592,0,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,1
16.222,56.611,1593,0,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,1
16.237,57.06,1594,0,1,1,1,0,1,0,1,0,0,1,0,1,0,0,0,1
16.252,57.509,1595,0,1,1,1,0,1,0,1,0,0,1,0,1,0,0,0,1
16.268,57.958,1596,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,1
16.284,58.407,1597,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,1
16.3,58.856,1598,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,1
16.317,59.305,1599,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,1
16.411,61.548,1600,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0
16.335,59.754,1601,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,1
16.427,38.163,1602,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
16.432,61.997,1603,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0
16.436,38.614,1604,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0
16.353,60.202,1605,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,1
16.445,39.064,1606,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1
16.454,39.515,1607,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0
16.454,62.446,1608,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0
16.372,60.651,1609,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0
16.464,39.965,1610,1,0,0,0,1,1,1,1,0,0,0,1,0,1,1,1,0
16.473,40.415,1611,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,1,0
16.476,62.894,1612,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0
16.483,40.865,1613,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0
16.391,61.1,1614,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0
16.599,65.137,1615,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0
16.493,41.316,1616,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0
16.499,63.343,1617,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0
16.627,65.586,1618,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0
16.523,63.792,1619,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0
16.536,43.116,1620,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,1,0
16.655,66.034,1621,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
16.547,64.24,1622,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0
16.548,43.566,1623,0,0,0,0,0,1,1,1,1,0,0,1,0,1,1,1,0
16.559,44.016,1624,1,0,1,0,0,1,1,1,0,0,0,0,1,0,0,1,1
16.571,44.466,1625,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0
16.685,66.482,1626,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0
16.573,64.689,1627,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0
